mpi_proc,omp_threads,time
3,1,30.690864
3,1,30.836214
3,1,31.061205
3,1,30.781243
3,1,30.822420
3,2,15.635730
3,2,15.768732
3,2,15.580118
3,2,15.506868
3,2,15.516261
3,3,10.345044
3,3,10.344703
3,3,10.370052
3,3,10.478553
3,3,10.354080
3,4,8.008243
3,4,7.791053
3,4,7.796641
3,4,7.915980
3,4,7.788417
3,5,6.266992
3,5,6.274087
3,5,6.313448
3,5,6.281048
3,5,6.267002
3,5,6.277773
3,5,6.386133
3,5,6.280401
3,5,6.280227
3,5,6.275652
3,6,5.234415
3,6,5.393638
3,6,5.264178
3,6,5.273302
3,6,5.306530
3,6,5.297655
3,6,5.314254
3,6,5.266557
3,6,5.469638
3,6,5.290675
3,7,4.494066
3,7,4.511877
3,7,4.516954
3,7,4.752093
3,7,4.590655
3,7,4.605243
3,7,4.680073
3,7,4.548025
3,7,4.537208
3,7,4.686349
3,8,3.977785
3,8,3.983213
3,8,3.989888
3,8,4.104876
3,8,4.213505
3,8,4.032007
3,8,3.962727
3,8,3.995413
3,8,4.002358
3,8,4.177853
3,9,3.532402
3,9,3.562396
3,9,3.556922
3,9,3.551925
3,9,3.763202
3,9,3.568313
3,9,3.583976
3,9,3.623043
3,9,3.687370
3,9,3.664822
3,10,3.195161
3,10,3.243985
3,10,3.240242
3,10,3.297919
3,10,3.487804
3,10,3.280006
3,10,3.221117
3,10,3.226124
3,10,3.248125
3,10,3.230639
3,11,2.982517
3,11,3.039991
3,11,3.121220
3,11,2.926806
3,11,3.196763
3,11,2.943270
3,11,3.038547
3,11,2.941695
3,11,2.956147
3,11,3.039136
3,12,2.687118
3,12,2.776727
3,12,2.700976
3,12,2.807469
3,12,2.716284
3,12,2.702763
3,12,2.704080
3,12,2.693863
3,12,2.746158
3,12,2.855172
