mpi_proc,omp_threads,time
2,1,11.482039
2,1,11.454632
2,1,11.488459
2,1,11.441024
2,1,11.457395
2,2,5.766244
2,2,5.778326
2,2,5.773793
2,2,5.778305
2,2,5.778323
2,3,3.861354
2,3,3.865667
2,3,3.871492
2,3,3.872704
2,3,3.872429
2,4,2.918249
2,4,2.936923
2,4,2.924076
2,4,2.925727
2,4,2.927297
2,5,2.349245
2,5,2.352834
2,5,2.367497
2,5,2.355249
2,5,2.361227
2,5,2.357154
2,5,2.352918
2,5,2.355549
2,5,2.424878
2,5,2.359769
2,6,1.975581
2,6,1.979066
2,6,1.984203
2,6,1.983667
2,6,1.979865
2,6,1.980035
2,6,1.972515
2,6,1.984344
2,6,1.973753
2,6,1.984671
2,7,1.703776
2,7,1.719917
2,7,1.714200
2,7,1.709100
2,7,1.711644
2,7,1.710119
2,7,1.710403
2,7,1.725667
2,7,1.718563
2,7,1.705962
2,8,1.500682
2,8,1.504800
2,8,1.509543
2,8,1.510084
2,8,1.512200
2,8,1.532930
2,8,1.510124
2,8,1.505980
2,8,1.529963
2,8,1.512993
2,9,1.345647
2,9,1.349113
2,9,1.353136
2,9,1.369824
2,9,1.354870
2,9,1.352458
2,9,1.353173
2,9,1.358674
2,9,1.351679
2,9,1.351714
2,10,1.217526
2,10,1.232999
2,10,1.226052
2,10,1.232037
2,10,1.226713
2,10,1.228969
2,10,1.225045
2,10,1.225853
2,10,1.222747
2,10,1.225737
2,11,1.116102
2,11,1.128809
2,11,1.146747
2,11,1.120147
2,11,1.124645
2,11,1.124150
2,11,1.127112
2,11,1.128612
2,11,1.118598
2,11,1.154142
2,12,1.031947
2,12,1.037365
2,12,1.033816
2,12,1.037122
2,12,1.036131
2,12,1.037247
2,12,1.038589
2,12,1.041367
2,12,1.039152
2,12,1.035419
