mpi_proc,omp_threads,time
4,1,23.970845
4,1,23.777124
4,1,23.779195
4,1,23.797352
4,1,23.957383
4,2,11.955220
4,2,12.117537
4,2,11.927368
4,2,11.939317
4,2,11.918034
4,3,7.966045
4,3,7.953699
4,3,8.001287
4,3,8.002916
4,3,7.994143
4,4,5.985098
4,4,6.036002
4,4,5.990979
4,4,6.241699
4,4,6.006585
4,5,4.846888
4,5,4.918078
4,5,4.851726
4,5,4.857202
4,5,4.853739
4,5,4.965789
4,5,4.832509
4,5,4.853349
4,5,4.953868
4,5,5.097800
4,6,4.069464
4,6,4.089826
4,6,4.297276
4,6,4.065124
4,6,4.072857
4,6,4.051940
4,6,4.090508
4,6,4.218790
4,6,4.064349
4,6,4.083196
4,7,3.486162
4,7,3.713137
4,7,3.515531
4,7,3.536139
4,7,3.521830
4,7,3.545616
4,7,3.511818
4,7,3.652926
4,7,3.506927
4,7,3.496734
4,8,3.094101
4,8,3.267875
4,8,3.172349
4,8,3.090599
4,8,3.073989
4,8,3.078406
4,8,3.176875
4,8,3.070573
4,8,3.107443
4,8,3.233563
4,9,2.768211
4,9,2.893655
4,9,2.811676
4,9,2.986077
4,9,2.879138
4,9,2.908443
4,9,2.760290
4,9,2.779229
4,9,2.818589
4,9,2.781155
4,10,2.501000
4,10,2.487417
4,10,2.502027
4,10,2.486521
4,10,2.498070
4,10,2.720125
4,10,2.618353
4,10,2.561997
4,10,2.525640
4,10,2.507535
4,11,2.258741
4,11,2.299531
4,11,2.285235
4,11,2.410194
4,11,2.291594
4,11,2.289854
4,11,2.275010
4,11,2.308755
4,11,2.457454
4,11,2.438480
4,12,2.096552
4,12,2.111135
4,12,2.133935
4,12,2.160087
4,12,2.455214
4,12,2.088910
4,12,2.262005
4,12,2.084695
4,12,2.183877
4,12,2.113265
