dim,mpi_proc,omp_threads,time
24495,6,12,3.018734
24495,6,12,3.194846
24495,6,12,3.018652
24495,6,12,3.234758
24495,6,16,2.312767
24495,6,16,2.562290
24495,6,16,2.684080
24495,6,16,2.339122
24495,6,16,2.561744
24495,6,20,1.911585
24495,6,20,2.184122
24495,6,20,2.047883
24495,6,20,1.973309
24495,6,20,1.958951
24495,6,24,1.638903
24495,6,24,1.822282
24495,6,24,1.838804
24495,6,24,1.633090
24495,6,24,1.687078
24495,6,28,1.432282
24495,6,28,1.553932
24495,6,28,1.582415
24495,6,28,1.442007
24495,6,28,1.431515
24495,6,32,1.304187
24495,6,32,1.298070
24495,6,32,1.279192
24495,6,32,1.315823
24495,6,32,1.563714
24495,6,36,1.265928
24495,6,36,1.667647
24495,6,36,1.625822
24495,6,36,2.374826
24495,6,36,1.282511
24495,6,40,1.087848
24495,6,40,1.073215
24495,6,40,1.293112
24495,6,40,1.331843
24495,6,40,1.097874
24495,6,44,0.985034
24495,6,44,1.078525
24495,6,44,1.000570
24495,6,44,1.164513
24495,6,44,1.298284
24495,6,48,0.963008
24495,6,48,1.006969
24495,6,48,1.002404
24495,6,48,1.104361
24495,6,48,1.097749
24495,6,52,1.014950
24495,6,52,0.896767
24495,6,52,0.876787
24495,6,52,0.880905
24495,6,52,0.878386
24495,6,56,0.848099
24495,6,56,0.841827
24495,6,56,0.862844
24495,6,56,0.895951
24495,6,56,0.847104
24495,6,60,0.946214
24495,6,60,0.812896
24495,6,60,0.906938
24495,6,60,0.818135
24495,6,60,0.820499
24495,6,64,0.867024
24495,6,64,0.782394
24495,6,64,0.895269
24495,6,64,0.772422
24495,6,64,0.774145
