mpi_proc,omp_threads,time
2,1,25.242608
2,1,25.171628
2,1,25.128707
2,1,25.139774
2,1,25.221655
2,2,12.883481
2,2,12.894092
2,2,12.885907
2,2,12.888120
2,2,12.889083
2,3,8.621205
2,3,8.618913
2,3,8.627981
2,3,8.619928
2,3,8.636078
2,4,6.495743
2,4,6.506184
2,4,6.501814
2,4,6.499000
2,4,6.519066
2,5,5.237618
2,5,5.260732
2,5,5.250368
2,5,5.240683
2,5,5.239498
2,6,4.393514
2,6,4.389589
2,6,4.398183
2,6,4.383588
2,6,4.397574
2,7,3.795958
2,7,3.786624
2,7,3.794234
2,7,3.802009
2,7,3.815701
2,8,3.352243
2,8,3.366992
2,8,3.382339
2,8,3.356714
2,8,3.361057
2,10,2.695192
2,10,2.701237
2,10,2.709963
2,10,2.703866
2,10,2.694694
2,10,2.704430
2,10,2.688027
2,10,2.709119
2,10,2.689503
2,10,2.691574
2,12,2.264939
2,12,2.274825
2,12,2.278566
2,12,2.288562
2,12,2.266218
2,12,2.272865
2,12,2.268384
2,12,2.283222
2,12,2.281428
2,12,2.272977
2,14,1.961441
2,14,1.964194
2,14,1.962845
2,14,1.979705
2,14,1.972300
2,14,1.968759
2,14,1.965147
2,14,2.087857
2,14,1.966269
2,14,1.969177
2,16,1.732826
2,16,1.748042
2,16,1.754640
2,16,1.738685
2,16,1.742433
2,16,1.745699
2,16,1.739439
2,16,1.743821
2,16,1.750065
2,16,1.737996
2,18,1.560980
2,18,1.578944
2,18,1.567500
2,18,1.564600
2,18,1.588940
2,18,1.568754
2,18,1.586561
2,18,1.575944
2,18,1.575647
2,18,1.565343
2,20,1.424358
2,20,1.424961
2,20,1.423681
2,20,1.423929
2,20,1.423485
2,20,1.485152
2,20,1.427232
2,20,1.431778
2,20,1.428156
2,20,1.434983
2,22,1.305056
2,22,1.425577
2,22,1.308343
2,22,1.316423
2,22,1.319932
2,22,1.307054
2,22,1.307587
2,22,1.447507
2,22,1.323108
2,22,1.314101
2,24,1.224683
2,24,1.227042
2,24,1.214114
2,24,1.355126
2,24,1.221551
2,24,1.217054
2,24,1.222385
2,24,1.226548
2,24,1.215860
2,24,1.215123
2,26,1.131394
2,26,1.145280
2,26,1.323424
2,26,1.136147
2,26,1.138096
2,26,1.143162
2,26,1.136189
2,26,1.140969
2,26,1.136517
2,26,1.144112
2,28,1.055985
2,28,1.066242
2,28,1.064139
2,28,1.064238
2,28,1.075922
2,28,1.083360
2,28,1.072098
2,28,1.066721
2,28,1.064447
2,28,1.065117
2,30,0.996572
2,30,1.012008
2,30,1.115620
2,30,1.006992
2,30,0.999085
2,30,0.999406
2,30,1.007931
2,30,1.012609
2,30,1.010485
2,30,0.999253
2,32,0.951319
2,32,0.959292
2,32,0.956519
2,32,0.947630
2,32,0.954975
2,32,0.946997
2,32,1.078412
2,32,0.952574
2,32,0.957884
2,32,0.946157
2,34,0.900995
2,34,0.901409
2,34,0.905784
2,34,0.920198
2,34,0.901508
2,34,0.900238
2,34,0.900712
2,34,0.915265
2,34,0.900307
2,34,0.916462
2,36,0.868207
2,36,0.860304
2,36,0.858029
2,36,0.858438
2,36,0.868258
2,36,0.856077
2,36,0.867284
2,36,0.861188
2,36,0.869244
2,36,0.863326
2,38,0.825823
2,38,0.824606
2,38,0.824991
2,38,0.822871
2,38,0.831204
2,38,0.821043
2,38,0.823304
2,38,0.821610
2,38,0.825635
2,38,0.827856
2,40,0.787483
2,40,0.797890
2,40,0.822883
2,40,0.790656
2,40,0.794843
2,40,0.786432
2,40,0.846900
2,40,0.802165
2,40,0.793867
2,40,0.790121
2,42,0.764059
2,42,0.769527
2,42,0.774439
2,42,0.765054
2,42,0.775426
2,42,0.762890
2,42,0.772609
2,42,0.757869
2,42,0.762331
2,42,0.761803
2,44,0.735074
2,44,0.749920
2,44,0.759700
2,44,0.747981
2,44,0.903367
2,44,0.738174
2,44,0.739411
2,44,0.730171
2,44,0.736988
2,44,0.748330
2,46,0.706904
2,46,0.708391
2,46,0.711577
2,46,0.711052
2,46,0.709216
2,46,0.709252
2,46,0.707073
2,46,0.712914
2,46,0.718146
2,46,0.705345
2,48,0.708294
2,48,0.690134
2,48,0.686068
2,48,0.688235
2,48,0.698125
2,48,0.702189
2,48,0.686857
2,48,0.689832
2,48,0.689017
2,48,0.695040
2,50,0.673187
2,50,0.665063
2,50,0.870631
2,50,0.668910
2,50,0.670259
2,50,0.663046
