mpi_proc,omp_threads,time
5,1,78.519053
5,1,78.875774
5,1,78.741245
5,1,78.537893
5,1,78.631952
5,2,40.404284
5,2,40.423213
5,2,40.507807
5,2,40.447790
5,2,40.426152
5,3,27.159532
5,3,26.954135
5,3,27.127128
5,3,26.960856
5,3,27.090116
5,4,20.268288
5,4,20.279072
5,4,20.290395
5,4,20.290377
5,4,20.269768
5,5,16.292838
5,5,16.297306
5,5,16.282670
5,5,16.310010
5,5,16.533175
5,6,13.803828
5,6,13.625613
5,6,13.614415
5,6,13.628093
5,6,13.615566
5,7,11.732170
5,7,11.891712
5,7,11.740320
5,7,11.778638
5,7,11.735199
5,8,10.536600
5,8,10.395732
5,8,10.431698
5,8,10.500211
5,8,10.416943
5,10,8.301700
5,10,8.330973
5,10,8.311354
5,10,8.291136
5,10,8.293160
5,10,8.481411
5,10,8.284404
5,10,8.301549
5,10,8.290978
5,10,8.487030
5,12,6.928857
5,12,7.249292
5,12,7.332375
5,12,6.961068
5,12,7.284352
5,12,6.952599
5,12,7.063331
5,12,7.186668
5,12,6.952588
5,12,6.942266
5,14,6.211854
5,14,5.992519
5,14,6.020753
5,14,5.987096
5,14,6.231650
5,14,5.984129
5,14,6.011521
5,14,6.037384
5,14,6.100031
5,14,6.007208
5,16,5.628123
5,16,5.439566
5,16,5.394983
5,16,5.357183
5,16,5.361931
5,16,5.355934
5,16,5.399406
5,16,5.497994
5,16,5.587961
5,16,5.287840
5,18,4.872151
5,18,4.875705
5,18,4.777071
5,18,4.952767
5,18,4.837739
5,18,4.831312
5,18,4.948364
5,18,4.833764
5,18,4.744490
5,18,4.783150
5,20,4.514325
5,20,4.290223
5,20,4.343247
5,20,4.415880
5,20,4.301343
5,20,4.536170
5,20,4.462021
5,20,4.326049
5,20,4.388922
5,20,4.293969
5,22,4.047323
5,22,3.931818
5,22,4.129432
5,22,3.950217
5,22,3.999686
5,22,4.097483
5,22,3.929578
5,22,4.046828
5,22,4.178097
5,22,3.976229
5,24,3.607296
5,24,3.655107
5,24,3.803031
5,24,3.660871
5,24,3.831014
5,24,3.645327
5,24,3.705352
5,24,3.769022
5,24,3.645998
5,24,3.656995
5,26,3.469168
5,26,3.502769
5,26,3.396574
5,26,3.513504
5,26,3.395962
5,26,3.782064
5,26,3.404352
5,26,3.620897
5,26,3.387401
5,26,3.391344
5,28,3.147518
5,28,3.171532
5,28,3.204844
5,28,3.540379
5,28,3.299520
5,28,3.159650
5,28,3.145996
5,28,3.242655
5,28,3.335609
5,28,3.351227
5,30,2.941501
5,30,3.098782
5,30,2.955674
5,30,3.187205
5,30,3.007779
5,30,3.186235
5,30,3.024224
5,30,3.018132
5,30,3.109275
5,30,3.185314
5,32,2.931207
5,32,2.898584
5,32,2.967407
5,32,3.076949
5,32,2.791973
5,32,2.799066
5,32,2.969552
5,32,2.798315
5,32,3.092570
5,32,2.817232
5,34,2.902548
5,34,2.691526
5,34,2.782430
5,34,2.712872
5,34,2.787379
5,34,2.660216
5,34,2.713490
5,34,2.780909
5,34,2.785599
5,34,2.654515
5,36,2.496996
5,36,2.805588
5,36,2.700693
5,36,2.533037
5,36,2.626532
5,36,2.577637
5,36,2.677051
5,36,2.938809
5,36,2.514045
5,36,2.527485
5,38,2.421162
5,38,2.567735
5,38,2.571646
5,38,2.591003
5,38,2.395039
5,38,2.516726
5,38,2.458827
5,38,2.491436
5,38,2.411679
5,38,2.427550
5,40,2.345562
5,40,2.277784
5,40,2.368049
5,40,2.438778
5,40,2.358327
5,40,2.282479
5,40,2.290899
5,40,2.451185
5,40,2.421042
5,40,2.305922
5,42,2.184415
5,42,2.240334
5,42,2.339698
5,42,2.205829
5,42,2.205770
5,42,2.199187
5,42,2.206854
5,42,2.234153
5,42,2.281019
5,42,2.367939
5,44,2.090339
5,44,2.244173
5,44,2.237007
5,44,2.110366
5,44,2.099045
5,44,2.217570
5,44,2.192742
5,44,2.176677
5,44,2.124349
5,44,2.127812
5,46,1.999679
5,46,2.154797
5,46,2.053207
5,46,2.018613
5,46,2.034637
5,46,2.088757
5,46,2.087148
5,46,2.155937
5,46,2.116245
5,46,2.243549
5,48,1.946340
5,48,2.152187
5,48,2.065334
5,48,2.054443
5,48,1.963247
5,48,1.952130
5,48,2.114912
5,48,1.973868
5,48,2.161986
5,48,2.061242
5,50,2.070630
5,50,2.131507
5,50,2.145479
5,50,1.940622
5,50,1.970548
5,50,1.959914
5,50,2.005649
5,50,1.876823
5,50,1.941048
5,50,1.968430
5,52,1.868261
5,52,1.833684
5,52,1.926125
5,52,1.854474
5,52,2.074970
5,52,1.931073
5,52,1.905723
5,52,1.820392
5,52,2.023250
5,52,1.926005
5,54,1.793567
5,54,1.983445
5,54,1.780948
5,54,1.764917
5,54,2.138891
5,54,1.878839
5,54,1.922556
5,54,1.915027
5,54,1.882442
5,54,1.758551
5,56,1.764265
5,56,1.737668
5,56,1.711894
5,56,1.712443
5,56,1.820510
5,56,1.975491
5,56,1.740164
5,56,1.717261
5,56,1.785772
5,56,1.727059
5,58,1.808529
5,58,1.918289
5,58,1.722889
5,58,1.650216
5,58,1.679114
5,58,1.864491
5,58,1.810696
5,58,1.650491
5,58,1.665043
5,58,1.692301
5,60,1.889626
5,60,1.992989
5,60,1.630657
5,60,1.638914
5,60,1.715482
5,60,1.688155
5,60,1.601712
5,60,1.642566
5,60,1.632025
5,60,1.623343
5,62,1.682973
5,62,1.720768
5,62,1.597265
5,62,1.756175
5,62,1.856679
5,62,1.738486
5,62,1.619431
5,62,1.632804
5,62,1.843946
5,62,1.580261
5,64,1.696933
5,64,1.673526
5,64,1.528451
5,64,1.566884
5,64,1.540448
5,64,1.528520
5,64,1.659236
5,64,1.549583
5,64,1.596017
5,64,1.550030
