omp_threads,type,n,m,k,time,GFlops
12,float,10000,10000,10000,1.242589,1609.542230
12,float,10000,10000,10000,1.242026,1610.272367
12,float,10000,10000,10000,1.246754,1604.165472
12,float,10000,10000,10000,1.246374,1604.655122
12,float,10500,10500,10500,1.432618,1616.097572
12,float,10500,10500,10500,1.433455,1615.153130
12,float,10500,10500,10500,1.429752,1619.336987
12,float,10500,10500,10500,1.437796,1610.276788
12,float,10500,10500,10500,1.429179,1619.986119
12,float,10500,10500,10500,1.428508,1620.747205
12,float,10500,10500,10500,1.428994,1620.195785
12,float,11000,11000,11000,1.639645,1623.521744
12,float,11000,11000,11000,1.638137,1625.016346
12,float,11000,11000,11000,1.640287,1622.886968
12,float,11000,11000,11000,1.640739,1622.439542
12,float,11000,11000,11000,1.640940,1622.240636
12,float,11000,11000,11000,1.639373,1623.791479
12,float,11000,11000,11000,1.642601,1620.600140
12,float,11500,11500,11500,1.890838,1608.678406
12,float,11500,11500,11500,1.881736,1616.459677
12,float,11500,11500,11500,1.881830,1616.378866
12,float,11500,11500,11500,1.892027,1607.667647
12,float,11500,11500,11500,1.892524,1607.245340
12,float,11500,11500,11500,1.891581,1608.046162
12,float,11500,11500,11500,1.892121,1607.587115
12,float,12000,12000,12000,2.147025,1609.668954
12,float,12000,12000,12000,2.139223,1615.539596
12,float,12000,12000,12000,2.151304,1606.467560
12,float,12000,12000,12000,2.147281,1609.477435
12,float,12000,12000,12000,2.139973,1614.973517
12,float,12000,12000,12000,2.142211,1613.286571
12,float,12000,12000,12000,2.147105,1609.609277
12,float,12500,12500,12500,2.404910,1624.281268
12,float,12500,12500,12500,2.413675,1618.382811
12,float,12500,12500,12500,2.404196,1624.763718
12,float,12500,12500,12500,2.413200,1618.701176
12,float,12500,12500,12500,2.399654,1627.839167
12,float,12500,12500,12500,2.412065,1619.462875
12,float,12500,12500,12500,2.404271,1624.712518
12,float,13000,13000,13000,2.714151,1618.922239
12,float,13000,13000,13000,2.705820,1623.907112
12,float,13000,13000,13000,2.713754,1619.159428
12,float,13000,13000,13000,2.713819,1619.120563
12,float,13000,13000,13000,2.713039,1619.586301
12,float,13000,13000,13000,2.713317,1619.419906
12,float,13000,13000,13000,2.714210,1618.887355
12,float,13500,13500,13500,3.033696,1622.031279
12,float,13500,13500,13500,3.039334,1619.022272
12,float,13500,13500,13500,3.040423,1618.442450
12,float,13500,13500,13500,3.040598,1618.349683
12,float,13500,13500,13500,3.041452,1617.895236
12,float,13500,13500,13500,3.039676,1618.840351
12,float,13500,13500,13500,3.039122,1619.135165
12,float,14000,14000,14000,3.351897,1637.281730
12,float,14000,14000,14000,3.349933,1638.241568
12,float,14000,14000,14000,3.354138,1636.188031
12,float,14000,14000,14000,3.354025,1636.243143
12,float,14000,14000,14000,3.354187,1636.163855
12,float,14000,14000,14000,3.350539,1637.945234
12,float,14000,14000,14000,3.351748,1637.354834
12,float,14500,14500,14500,3.729083,1635.053357
12,float,14500,14500,14500,3.730698,1634.345847
12,float,14500,14500,14500,3.729932,1634.681411
12,float,14500,14500,14500,3.730084,1634.614620
12,float,14500,14500,14500,3.732095,1633.734034
12,float,14500,14500,14500,3.729676,1634.793520
12,float,14500,14500,14500,3.728838,1635.160702
12,float,15000,15000,15000,4.181227,1614.358662
12,float,15000,15000,15000,4.181825,1614.127692
12,float,15000,15000,15000,4.180976,1614.455589
12,float,15000,15000,15000,4.174178,1617.084741
12,float,15000,15000,15000,4.179893,1614.873880
12,float,15000,15000,15000,4.173362,1617.401061
12,float,15000,15000,15000,4.173710,1617.265981
12,float,15500,15500,15500,4.512758,1650.376427
12,float,15500,15500,15500,4.529836,1644.154491
12,float,15500,15500,15500,4.511366,1650.885886
12,float,15500,15500,15500,4.531895,1643.407485
12,float,15500,15500,15500,4.511884,1650.696269
12,float,15500,15500,15500,4.512926,1650.315272
12,float,15500,15500,15500,4.530635,1643.864440
12,float,16000,16000,16000,5.036794,1626.431383
12,float,16000,16000,16000,5.016380,1633.049976
12,float,16000,16000,16000,5.035939,1626.707606
12,float,16000,16000,16000,5.015921,1633.199636
12,float,16000,16000,16000,5.035789,1626.755980
12,float,16000,16000,16000,5.036817,1626.424043
12,float,16000,16000,16000,5.039524,1625.550481
12,float,16500,16500,16500,5.531371,1624.235760
12,float,16500,16500,16500,5.531784,1624.114428
12,float,16500,16500,16500,5.532301,1623.962736
12,float,16500,16500,16500,5.532036,1624.040519
12,float,16500,16500,16500,5.533396,1623.641136
12,float,16500,16500,16500,5.531483,1624.202870
12,float,16500,16500,16500,5.532270,1623.971666
12,float,17000,17000,17000,6.019456,1632.373450
12,float,17000,17000,17000,6.018762,1632.561577
12,float,17000,17000,17000,6.022330,1631.594336
12,float,17000,17000,17000,6.022418,1631.570532
12,float,17000,17000,17000,6.023334,1631.322432
