omp_threads,type,n,m,k,time,GFlops
12,double,10500,10500,10500,2.881317,803.538902
12,double,10500,10500,10500,2.882778,803.131571
12,double,10500,10500,10500,2.890506,800.984245
12,double,10500,10500,10500,2.883354,802.971146
12,double,10500,10500,10500,2.882654,803.166121
12,double,10500,10500,10500,2.881742,803.420375
12,double,11000,11000,11000,3.308627,804.563310
12,double,11000,11000,11000,3.299404,806.812299
12,double,11000,11000,11000,3.297758,807.215182
12,double,11000,11000,11000,3.301148,806.386178
12,double,11000,11000,11000,3.302580,806.036488
12,double,11000,11000,11000,3.303148,805.897781
12,double,11000,11000,11000,3.303053,805.921180
12,double,11500,11500,11500,3.759845,809.009321
12,double,11500,11500,11500,3.747230,811.733002
12,double,11500,11500,11500,3.744848,812.249339
12,double,11500,11500,11500,3.762441,808.451221
12,double,11500,11500,11500,3.746094,811.979113
12,double,11500,11500,11500,3.751044,810.907512
12,double,11500,11500,11500,3.750657,810.991145
12,double,12000,12000,12000,4.324146,799.233047
12,double,12000,12000,12000,4.324786,799.114728
12,double,12000,12000,12000,4.330419,798.075164
12,double,12000,12000,12000,4.318161,800.340787
12,double,12000,12000,12000,4.317926,800.384332
12,double,12000,12000,12000,4.325217,799.035144
12,double,12000,12000,12000,4.330387,798.081078
12,double,12500,12500,12500,4.901234,796.993219
12,double,12500,12500,12500,4.895335,797.953604
12,double,12500,12500,12500,4.890203,798.791001
12,double,12500,12500,12500,4.926264,792.943770
12,double,12500,12500,12500,4.906536,796.131955
12,double,12500,12500,12500,4.892399,798.432418
12,double,12500,12500,12500,4.898432,797.449134
12,double,13000,13000,13000,5.453114,805.778133
12,double,13000,13000,13000,5.454333,805.598027
12,double,13000,13000,13000,5.457099,805.189776
12,double,13000,13000,13000,5.465360,803.972706
12,double,13000,13000,13000,5.454679,805.546898
12,double,13000,13000,13000,5.458756,804.945260
12,double,13000,13000,13000,5.456216,805.320028
12,double,13500,13500,13500,6.096139,807.191182
12,double,13500,13500,13500,6.095105,807.328117
12,double,13500,13500,13500,6.095375,807.292381
12,double,13500,13500,13500,6.093679,807.517112
12,double,13500,13500,13500,6.096783,807.106019
12,double,13500,13500,13500,6.093277,807.570358
12,double,13500,13500,13500,6.092677,807.649850
12,double,14000,14000,14000,6.887256,796.833980
12,double,14000,14000,14000,6.881684,797.479224
12,double,14000,14000,14000,6.884691,797.130934
12,double,14000,14000,14000,6.883998,797.211208
12,double,14000,14000,14000,6.894895,795.951226
12,double,14000,14000,14000,6.886609,796.908912
12,double,14000,14000,14000,6.882338,797.403405
12,double,14500,14500,14500,7.662218,795.755248
12,double,14500,14500,14500,7.649700,797.057401
12,double,14500,14500,14500,7.648100,797.224156
12,double,14500,14500,14500,7.655025,796.502977
12,double,14500,14500,14500,7.660636,795.919556
12,double,14500,14500,14500,7.686920,793.198028
12,double,14500,14500,14500,7.662799,795.694847
12,double,15000,15000,15000,8.433827,800.348447
12,double,15000,15000,15000,8.406403,802.959320
12,double,15000,15000,15000,8.452996,798.533473
12,double,15000,15000,15000,8.430045,800.707426
12,double,15000,15000,15000,8.425893,801.102067
12,double,15000,15000,15000,8.424055,801.276843
12,double,15000,15000,15000,8.422014,801.471033
12,double,15500,15500,15500,9.250438,805.124034
12,double,15500,15500,15500,9.255449,804.688162
12,double,15500,15500,15500,9.237617,806.241506
12,double,15500,15500,15500,9.245597,805.545589
12,double,15500,15500,15500,9.246523,805.464964
12,double,15500,15500,15500,9.252642,804.932286
12,double,15500,15500,15500,9.246309,805.483591
12,double,16000,16000,16000,10.220722,801.508910
12,double,16000,16000,16000,10.222094,801.401318
12,double,16000,16000,16000,10.225782,801.112358
12,double,16000,16000,16000,10.222700,801.353863
12,double,16000,16000,16000,10.226124,801.085549
12,double,16000,16000,16000,10.223238,801.311715
12,double,16000,16000,16000,10.227975,800.940549
12,double,16500,16500,16500,11.335474,792.578224
12,double,16500,16500,16500,11.326069,793.236358
12,double,16500,16500,16500,11.301155,794.985085
12,double,16500,16500,16500,11.318314,793.779876
12,double,16500,16500,16500,11.311319,794.270799
12,double,16500,16500,16500,11.361768,790.744011
12,double,16500,16500,16500,11.298703,795.157669
12,double,17000,17000,17000,12.286014,799.771167
12,double,17000,17000,17000,12.285658,799.794358
12,double,17000,17000,17000,12.274078,800.548905
12,double,17000,17000,17000,12.280551,800.126965
12,double,17000,17000,17000,12.282630,799.991552
12,double,17000,17000,17000,12.282955,799.970393
12,double,17000,17000,17000,12.278992,800.228577
12,double,17500,17500,17500,13.430383,798.097095
12,double,17500,17500,17500,13.424829,798.427308
12,double,17500,17500,17500,13.420760,798.669405
12,double,17500,17500,17500,13.416756,798.907738
12,double,17500,17500,17500,13.416724,798.909602
12,double,17500,17500,17500,13.417655,798.854167
12,double,17500,17500,17500,13.419419,798.749190
12,double,18000,18000,18000,14.494406,804.724246
12,double,18000,18000,18000,14.494431,804.722857
12,double,18000,18000,18000,14.496926,804.584368
12,double,18000,18000,18000,14.499876,804.420662
12,double,18000,18000,18000,14.494793,804.702783
12,double,18000,18000,18000,14.489985,804.969786
12,double,18000,18000,18000,14.489975,804.970311
12,double,18500,18500,18500,16.037128,789.620802
12,double,18500,18500,18500,16.042395,789.361588
12,double,18500,18500,18500,16.035149,789.718266
12,double,18500,18500,18500,16.032627,789.842503
12,double,18500,18500,18500,16.028482,790.046762
12,double,18500,18500,18500,16.024252,790.255290
12,double,18500,18500,18500,16.014608,790.731195
12,double,19000,19000,19000,17.148416,799.957271
12,double,19000,19000,19000,17.147003,800.023179
12,double,19000,19000,19000,17.182734,798.359583
12,double,19000,19000,19000,17.139514,800.372734
12,double,19000,19000,19000,17.137099,800.485546
12,double,19000,19000,19000,17.150761,799.847879
12,double,19000,19000,19000,17.139390,800.378553
12,double,19500,19500,19500,18.507352,801.289660
12,double,19500,19500,19500,18.567624,798.688605
12,double,19500,19500,19500,18.562721,798.899576
12,double,19500,19500,19500,18.596762,797.437230
12,double,19500,19500,19500,18.540916,799.839133
12,double,19500,19500,19500,18.580854,798.119948
12,double,19500,19500,19500,18.514726,800.970550
12,double,20000,20000,20000,20.078465,796.873681
12,double,20000,20000,20000,20.079731,796.823419
12,double,20000,20000,20000,20.072964,797.092034
12,double,20000,20000,20000,20.071623,797.145291
12,double,20000,20000,20000,20.091489,796.357123
12,double,20000,20000,20000,20.076313,796.959076
12,double,20000,20000,20000,20.076991,796.932154
